GEOID1,STATE,NET_COUNTY,NET_PERM,NET_TEMP,NET_RESIDENTIAL,FULL1_NAME,net,difference
28045,MS,-129,-299,100,-90,"Hancock County, Mississippi",-654,-525
41001,OR,-19,11,-123,-107,"Baker County, Oregon",-540,-521
72059,PR,30,30,0,-7,"Guayanilla Municipio, Puerto Rico",-490,-520
13165,GA,136,121,0,46,"Jenkins County, Georgia",-377,-513
31177,NE,609,696,-93,620,"Washington County, Nebraska",98,-511
12113,FL,3072,2608,404,3096,"Santa Rosa County, Florida",2562,-510
51049,VA,38,-5,59,-13,"Cumberland County, Virginia",-466,-504
51036,VA,487,588,-102,587,"Charles City County, Virginia",-12,-499
13175,GA,-181,-193,23,-246,"Laurens County, Georgia",-678,-497
28083,MS,-423,-419,4,-413,"Leflore County, Mississippi",-919,-496
13085,GA,1307,1279,101,1275,"Dawson County, Georgia",812,-495
51181,VA,359,380,1,357,"Surry County, Virginia",-135,-494
37173,NC,85,-79,222,91,"Swain County, North Carolina",-407,-492
5003,AR,-231,-214,0,-225,"Ashley County, Arkansas",-720,-489
40089,OK,-844,-785,-1,-677,"McCurtain County, Oklahoma",-1333,-489
21109,KY,55,87,-11,99,"Jackson County, Kentucky",-427,-482
48249,TX,-807,-776,-13,-695,"Jim Wells County, Texas",-1289,-482
28119,MS,-57,-75,0,13,"Quitman County, Mississippi",-538,-481
33015,NH,-1799,-741,-1055,-1337,"Rockingham County, New Hampshire",-2279,-480
49013,UT,-91,-62,-20,-36,"Duchesne County, Utah",-571,-480
53007,WA,-275,211,-412,-164,"Chelan County, Washington",-755,-480
29121,MO,-199,-218,-12,-218,"Macon County, Missouri",-678,-479
13309,GA,-66,-89,0,-51,"Wheeler County, Georgia",-544,-478
21099,KY,45,19,-11,-48,"Hart County, Kentucky",-432,-477
40009,OK,-474,-498,0,-431,"Beckham County, Oklahoma",-951,-477
12077,FL,-105,-112,-43,-33,"Liberty County, Florida",-581,-476
13035,GA,62,33,26,194,"Butts County, Georgia",-411,-473
34037,NJ,-318,-118,-238,-305,"Sussex County, New Jersey",-790,-472
45085,SC,-291,-286,-56,-402,"Sumter County, South Carolina",-763,-472
17041,IL,-310,-205,-26,-269,"Douglas County, Illinois",-782,-472
72079,PR,38,36,0,-19,"Lajas Municipio, Puerto Rico",-433,-471
47041,TN,-101,-20,-70,-49,"DeKalb County, Tennessee",-572,-471
13167,GA,77,46,0,118,"Johnson County, Georgia",-390,-467
51109,VA,879,933,-110,868,"Louisa County, Virginia",413,-466
48175,TX,59,41,0,59,"Goliad County, Texas",-405,-464
39107,OH,-804,-612,-120,-649,"Mercer County, Ohio",-1262,-458
48399,TX,-54,-50,0,-129,"Runnels County, Texas",-512,-458
37043,NC,702,125,570,587,"Clay County, North Carolina",246,-456
51015,VA,-613,-639,-44,-697,"Augusta County, Virginia",-1068,-455
13281,GA,277,141,171,257,"Towns County, Georgia",-173,-450
51071,VA,-31,-43,11,-33,"Giles County, Virginia",-480,-449
48011,TX,350,422,-17,336,"Armstrong County, Texas",-97,-447
47069,TN,-530,-499,-11,-459,"Hardeman County, Tennessee",-975,-445
